주문번호,관엽식물,서양란,공기정화식물,인테리어식물,완제품,공중식물,화병,야생화,선인장,수생/식충/과실수,다육,허브,분재,영양제/살균제,흙/마사/스톤,동양란,묘목/조경/관목,수입식물,화분,특가세일,구근,기타원예,단품,모종,씨앗,꽃다발/바구니,테이블/선반,개업/완제품,바위솔/세덤,조화,수초,근조/화환,1+1,기타수족관용품,바닥재/소일,조명,어항,수초용품,수석/유목/장식,Column1
2.02309E+15,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
A16942716218806821,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16942592303520021,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16941883849641930,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16940291818402820,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2.02309E+15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16939417576649821,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16937765963842879,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16935733848885534,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16935641679604733,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16934843781127962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16933209236483240,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
A16932292047484494,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16932240101003589,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16932201149727865,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16930531194842596,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
A16929659205287462,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16929642855844394,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A16929040856808810,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02308E+15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16926335766644115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
A16923675650686975,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16915963494445445,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16915845259329668,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02308E+15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16909042818643180,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
A16908484121204492,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16907943854460070,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
A16907023254602428,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16901364081402814,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16899378802481795,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
A16898668222203061,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16896641759989760,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16894433024165353,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
A16887644723046773,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
A16885687238844785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16884259276724821,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02307E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16879560914449610,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16872583533806425,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
A16869601583949409,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
A16869275666769515,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16868702875443603,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
A16867099913939198,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16866662833120854,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16866657407569991,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
A16865803963764664,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16864311390968903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
A16862416102402619,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16862130165221270,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02306E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16855814250625661,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A16855296439081260,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16852636626544636,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
A16850046451480299,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16848552458802641,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
A16848011641500293,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16847996290561695,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16847791636481075,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
A16844911118844521,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A16844376076564792,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16844296118766578,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16844176305209844,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16844122677561522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16843252642607474,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
A16841926513364099,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16841920510081348,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
A16839039505363734,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
A16838019272049478,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16837728082781454,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
A16837133072723622,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16832984666682650,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02305E+15,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16830638641607824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16829623432483049,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02305E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02304E+15,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16826556116086082,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16824605090649627,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
A16824400462280496,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
A16824356257524504,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16823975852081429,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16821470593287826,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
A16821096306889581,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16820102796961715,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16818439174241626,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
2.02304E+15,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16817615091282363,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
A16817541477163055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16817519574408676,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16817518108681786,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16817319153929100,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
A16813415989920889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16813099726568765,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16809948936805714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16807834568723948,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02304E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02304E+15,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
A16805026694323538,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A16804442511123576,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16804298136325213,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A16802770407689339,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
A16801130020804863,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
A16800886057809868,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
A16800542680792312,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16797281179806398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16795897913168282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16794820681001985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2.02303E+15,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16794022673084836,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16793492692408224,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16793243666843775,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
A16793088771049154,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16790665873122541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16790050381041751,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16789254129905595,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A16788082574920228,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
A16787822569687736,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16784450785607609,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16781471390965092,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
A16781304720405265,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A16780906311668727,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16780559803447839,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02303E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16777718674880832,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16777090862728896,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16776336067887586,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,
A16776167193848001,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2.02302E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02302E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16774970233804409,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
2.02302E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02302E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02302E+15,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
2.02302E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
